page_id,push,task_id,action_type,month,priority,url,redirect_target_url,target_primary_query,target_secondary_queries,target_volume_monthly,current_rank,target_rank_60d,specific_changes,why_data,brief_section
PA-11,3,BLG-01,REFRESH,M2,P1-stretch,/blog/alcohol-detox-drink,,detox drinks for alcohol,"detox alcohol drink",2000,pos 11,pos 6,"Add CTA box linking to /services/alcohol-detox-program. Add 'When you actually need professional detox' end-block - alcohol detox is the only withdrawal with serious medical risk for at-home attempts. Update sidebar related-posts to alcohol-detox-program.","Blog earns 2000 vol pos 11 for detox drinks for alcohol + detox alcohol drink. High informational intent overlapping with alcohol detox commercial intent. No commercial pull-through link currently.",Push3 sec3
PA-12,3,BLG-02,REFRESH,M2,P1-stretch,/blog/what-are-the-signs-that-my-body-is-detoxing,,detox cleanse symptoms,,1900,pos 13,pos 6,"Add CTA boxes linking to /services/drug-detox-services AND /services/alcohol-detox-program. Frame as 'If these signs are from drug or alcohol withdrawal you may need medical supervision'.","Blog earns 1900 vol pos 13 for detox cleanse symptoms. Informational top-of-funnel matching detox commercial intent.",Push3 sec3
PA-13,3,BLG-03,REFRESH,M3,P1-stretch,/blog/what-is-rehab,,what does rehab mean,,2400,pos 19,pos 10,"Add CTA boxes linking to new /drug-rehab-new-york-city and /alcohol-treatment-new-york-city pages (once PA-01 + PA-02 ship). Update intro to mention Harlem pin. Highest-leverage routing - top-of-funnel definitional intent + Harlem-pin specificity.","Blog earns 2400 vol pos 19 for what does rehab mean. Top-of-funnel definitional query - routing value once new commercial pages exist.",Push3 sec3
PA-14,4,DD-01,BUILD,M2,P0-must,/services/dual-diagnosis,,dual diagnosis rehab nyc,"mental health rehab nyc; co occurring disorders treatment nyc; depression and addiction treatment nyc; anxiety and addiction treatment nyc; ptsd and addiction treatment nyc",~250,Maps pos 1.98 / organic pos 19.9 / no dedicated page,top 15,"Sub-sections for Depression+SUD Anxiety+SUD PTSD+SUD Bipolar+SUD Personality-disorders+SUD; integrated psychiatric assessment at intake; medication management alongside addiction treatment; CBT + DBT + trauma-informed; Joint Commission + OASAS context; levels of care linked to existing pages; insurance & Medicaid; access from across NYC; FAQ 7-9 Qs (psychiatric care + addiction in one place; existing meds compatibility; trauma-related SUD); 2000-2500 words","Elev8 ranks Maps avg #1.98 on dual diagnosis treatment centers nyc but organic GSC pos is 19.9 with only 13 imp/90d. Organic surface unmonetized. At Maps #2 LLM citations should be default.",Push4 sec1
PA-15,5,UES-01,UPGRADE,M1,P0-must,/suburb/upper-east-side,,upper east side rehab,"upper eastside rehab",13200,pos 24,pos 12,"Existing page 1087 words. Target 2200-2800 words. Neighborhood specifics block (Lenox Hill Yorkville Carnegie Hill + zip codes 10021 10028 10044 10065 10075 10128 + cross-streets). Transportation from UES to Elev8 Harlem (4/5/6 train Madison FDR Drive). Why Elev8 vs UES-area providers (Joint Commission + OASAS + Medicaid - UES Medicaid demand inverts wealth-neighborhood assumption + confidential off-block location). UES-resident FAQ 5-7 Qs (commute time + family visitation + Manhattan insurance + IOP work commitments + same-day admission + privacy/discretion for high-profile patients).","upper east side rehab 6600 vol pos 24 + upper eastside rehab 6600 pos 25 = 13200 monthly vol one push away from page 1. Wellbridge (1622 York Ave UES) dominates UES Maps cells across 5 of 8 tracked kws AND organic SERP same geography. Single largest single-location organic opportunity on the site.",Push5 sec1
PA-16,5,CON-01,301,M1,P0-must,/suburb/stress-free-recovery-center-in-west-harlem-ny,/suburb/central-harlem-ny,,,1050 imp 90d,n/a,n/a,"301 redirect deployed; remove from XML sitemap; submit URL inspection on /suburb/central-harlem-ny","central-harlem-ny is the clear winner: 7106 imp 29 clicks pos 5.7. west-harlem-ny variant 1050 imp 2 clicks pos 6.7 dilutes authority.",Push5 sec2
PA-17,5,CON-01,301,M1,P0-must,/suburb/rehab-center-in-east-harlem-ny,/suburb/central-harlem-ny,,,658 imp 90d,n/a,n/a,"301 redirect deployed; remove from XML sitemap; submit URL inspection on /suburb/central-harlem-ny","Same Harlem 3-way cannibal: east-harlem-ny variant 658 imp 2 clicks pos 10.1 also routes to winner.",Push5 sec2
PA-18,5,CON-02,301,M1,P1-stretch,/suburb/hamilton-heights-ny,/suburb/dedicated-recovery-center-in-hamilton-heights-ny,,,72 imp 90d,n/a,n/a,"301 redirect deployed; sitemap clean. Note counter-intuitive: kw-stuffed slug outperforms clean slug here (198 imp pos 12.5 vs 72 imp pos 19.9). Verify with GSC click data before final decision.","Hamilton Heights cannibal: dedicated-recovery-center-in-hamilton-heights-ny is winner by imp + rank. Clean slug dilutes.",Push5 sec2
PA-19,5,CON-03,301,M1,P1-stretch,/suburb/morningside-heights-ny,/suburb/premier-recovery-center-in-morningside-heights-ny,,,145 imp 90d,n/a,n/a,"301 redirect deployed; sitemap clean.","Morningside Heights cannibal: premier-recovery-center variant 182 imp pos 15.5 vs clean slug 145 imp pos 29.0.",Push5 sec2
PA-20,5,CON-04,301,M2,P1-stretch,/suburb/professional-addiction-rehab-in-riverside-dr-ny,/suburb/upper-west-side,,,34 imp 90d,n/a,n/a,"301 redirect to UWS suburb page (functional parent). Sitemap clean.","Riverside cannibal: both pages low-traffic. Consolidate to UWS to strengthen larger UWS hyperlocal.",Push5 sec2
PA-21,5,CON-04,301,M2,P1-stretch,/suburb/rehab-center-in-riverside,/suburb/upper-west-side,,,2 imp 90d,n/a,n/a,"301 redirect to UWS suburb page. Sitemap clean.","Riverside cannibal companion: only 2 imp - functionally dead.",Push5 sec2
PA-22,5,CON-05,301,M3,P1-stretch,/suburb/rehab-center-in-mount-eden,/locations/bronx,,,199 imp 90d,n/a,n/a,"301 redirect deployed after BH-03 (/locations/bronx) ships in M3. Sitemap clean.","Mount Eden is in the Bronx. 301 to new borough hub - losers feed into stronger parent.",Push5 sec2
PA-23,5,CON-05,301,M3,P1-stretch,/suburb/reliable-addiction-rehab-in-mt-eden-ny,/locations/bronx,,,12 imp 90d,n/a,n/a,"301 redirect deployed after BH-03 ships. Sitemap clean.","Mount Eden cannibal companion - same routing logic.",Push5 sec2
