section,month,url_or_query,metric,baseline_value,target_60d,target_90d,m1_actual,m2_actual,m3_actual,status,notes
Maps,Q,grid-pos-addiction-rehab-ny,avg_rank_140cells,3.56,top-3,top-3,,,,baseline,Pushing
GSC-Aggregate,M1,homepage-only,impressions_28d,28101,maintain,maintain,,,,baseline,Branded queries
GSC-Aggregate,M1,homepage-only,clicks_28d,270,maintain,maintain,,,,baseline,Branded queries
GSC-Aggregate,M1,site-total,impressions_28d,~1500000,maintain,>1500000,,,,baseline,Includes blog decline + commercial gains
GSC-Aggregate,M1,site-total,clicks_28d,measure,baseline-set,>baseline,,,,baseline,Total commercial click trajectory
GSC-Aggregate,M1,borough-queries-combined,impressions_28d,~575,maintain,800+,,,,baseline,Brooklyn + Queens + Bronx queries
GSC-Aggregate,M1,borough-queries-combined,avg_pos,~50,30,15,,,,baseline,Once borough hubs publish
LLM-Citation,M1,dual-diagnosis-treatment-centers-nyc,citation_rate_5surfaces,unknown,measure,baseline-set,,,,planned,Tied to DD-02 baseline audit
LLM-Citation,M1,inpatient-drug-rehab-nyc,citation_rate_5surfaces,unknown,measure,baseline-set,,,,planned,Tied to DD-02 baseline audit
LLM-Citation,M1,methadone-clinic-harlem,citation_rate_5surfaces,unknown,measure,baseline-set,,,,planned,Tied to DD-02 baseline audit
Cannibal-Consolidation,M1,Harlem-3-way,301_deployed,0_of_2,2_of_2,2_of_2,,,,planned,CON-01
Cannibal-Consolidation,M1,Hamilton-Heights-2way,301_deployed,0_of_1,1_of_1,1_of_1,,,,planned,CON-02
Cannibal-Consolidation,M1,Morningside-Heights-2way,301_deployed,0_of_1,1_of_1,1_of_1,,,,planned,CON-03
Cannibal-Consolidation,M2,Riverside-2way,301_deployed,0_of_2,2_of_2,2_of_2,,,,planned,CON-04
Cannibal-Consolidation,M2,Mount-Eden-2way,301_deployed,0_of_2,2_of_2,2_of_2,,,,planned,CON-05
Off-Page-Output,M1,SEO-Neo-Month1,articles_published,0,4,4,,,,planned,NEO-01_M1
Off-Page-Output,M1,AI-Articles-Month1,articles_published,0,4,4,,,,planned,AI-01_M1
Off-Page-Output,M1,Driving-Directions-Month1,routes_published,0,3,3,,,,planned,DD-01_M1
Off-Page-Output,M1,GBP-Posts-Month1,posts_published,0,4,4,,,,planned,GBP-01_M1
Off-Page-Output,M1,Citations-Month1,submissions_complete,0,3-5,3-5,,,,planned,CIT-01_M1
GA4-Conversion,M1,site-total,form_submissions_30d,measure,baseline-set,>baseline,,,,baseline,Track downstream from organic + GBP channels
GA4-Conversion,M1,site-total,phone_call_clicks_30d,measure,baseline-set,>baseline,,,,baseline,Same
GA4-Conversion,M1,by-landing-page-bucket-suburb,form_submissions_30d,measure,baseline-set,>baseline,,,,baseline,Track which /suburb/ pages actually convert
GA4-Conversion,M1,by-landing-page-bucket-service,form_submissions_30d,measure,baseline-set,>baseline,,,,baseline,Existing 5 service pages vs new 5 (HP-01 through HP-04 + MAT + DD)
