task_id,pillar,target_pin,month_when_unblocked,action,why,notes,owner,acceptance,estimated_hours,priority,source_sop,unblocked_by
P-BOP-03,GBP base optimization,Bronx OP,M1 after access,GBP category expansion — Bronx OP,"Currently 3 categories. Add 3 clinically-true secondaries to broaden keyword surface.",Add: Alcoholism treatment program + Mental health service + Rehabilitation center. Target 6.,GBP Ops + Aleksa,Categories at 6; all clinically true,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Bronx OP GBP
P-BOP-04,GBP base optimization,Bronx OP,M1 after access,GBP attribute completion — Bronx OP,"Currently 1 attribute. Target 6 to match Ascendant depth.",service_options + accessibility + amenities + identifies-as + payments. Target 6.,GBP Ops,Attribute count ≥6,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Bronx OP GBP
P-BOP-05,GBP base optimization,Bronx OP,M1 after access,GBP Q&A seed + answer 3 existing — Bronx OP,"Bronx has 3 publicly-captured Q&As, 0 owner-answered. Answer those + seed 12-15 new via GMB Q&A SOP. Each reply references a site URL where applicable.",Answer 3 existing from info@. Seed 12-15 new via aged-Gmail pool. Topics: insurance / Medicaid / MAT / Spanish-language / Bronx neighborhoods / parking / accessibility.,GBP Ops + Aleksa,15+ Q&As live and owner-answered; each references a site URL where applicable,2,P0-must,GMB Q&A Optimization SOP (Drive),Manager access on Bronx OP GBP
P-BOP-06,GBP base optimization,Bronx OP,M1 after access,ExifTool + re-upload 1 existing photo — Bronx OP,"Bronx has 1 photo. Existing asset can be re-processed; net-new photo intake commitment in Ownership Doc item 8.",ExifTool inject target keywords (drug rehab Bronx + outpatient + Fordham) + GPS coord. Re-upload per GBP Maps Training Manual SOP Step 1.,Julce + GBP Ops,1 photo re-uploaded with injected metadata,0.5,P0-must,GBP Maps Training Manual SOP (Drive) Step 1,Manager access on Bronx OP GBP
P-BOP-07,GBP base optimization,Bronx OP,M2 after access,GBP Posts cadence 3-5/week — Bronx OP,"Bronx is in an unknown-rank state (no LD grid baseline yet). 3-5 Posts/week with each linking to a site page accelerates both rank diagnosis and ranking signal.","3-5 Posts/week: insurance / MAT / walk-in / Medicaid / Bronx neighborhood content. Each Post links to /outpatient/bronx-outpatient or relevant /service/* page. Every Post image runs through ExifTool first per Maps Training Manual SOP Step 1.",GBP Ops + Julce,≥40 Posts shipped on Bronx by end of M2; ≥80% link to site pages,4,P0-must,GBP Optimization SOP + Maps Training Manual SOP,Manager access on Bronx OP GBP
P-BOP-08,GBP base optimization,Bronx OP,M3 after access,Owner-reply to all <4-star reviews — Bronx OP,Bronx has 33.3% 1-star content density on 9 reviews (~3 negative). Owner-replies establish trust signal.,Empathy + outcome statement per Review-response SOP. Reference site URLs where contextually appropriate.,GBP Ops,Every <4-star Bronx review has an owner reply,0.5,P1-stretch,HQDM Review-response SOP,Manager access on Bronx OP GBP
P-BOP-09,GBP aggressive stack,Bronx OP,M2 (parallel to access),GMB Dominator run (9 suburbs) — Bronx OP,"Bronx is the data-gap pin. Once G-CORE-01 establishes baseline, Dominator builds 9 supporting MyMaps + driving-directions + cloud-blog stacks. Same SOP pattern as other HQDM accounts.","9 suburbs (Fordham + Williamsbridge + Norwood + Tremont + Bedford Park + Mt Hope + Belmont + Pelham Bay + Throgs Neck). Spintext content per Dominator SOP § 1.",Julce,9 supporting MyMaps + driving directions + cloud blogs published,8,P0-must,GMB Dominator & Embedinator SOP (Drive),AA coordination on external signal deployment
P-BOP-10,GBP aggressive stack,Bronx OP,M2 after access,Embedinator run — Bronx OP,Embed-stack pyramid pointing at the Bronx GBP profile.,Per GMB Embedinator SOP. Bronx OP pin only.,Julce,Embedinator run complete; embed-source domains logged,2,P1-stretch,GMB Embedinator SOP (Drive),AA coordination on external signal deployment
P-BOP-11,GBP aggressive stack,Bronx OP,M2 after access,SEO NEO cloud-blog network (30 articles) — Bronx OP,30 spun articles per SEO NEO SOP — heaviest deployment because Bronx baseline is unknown but likely weak. Each blog points at /outpatient/bronx-outpatient + Bronx GBP + Bronx Cloud Page.,"ExifTool-stuffed images + iframe loops + authority-entity injection. Staggered weekly per throttling rule.",Julce,30 cloud blogs published; indexed; staggered weekly per throttling rule,8,P0-must,SEO NEO SOP BASIC (Drive),AA coordination on external signal deployment
P-BOP-12,GBP aggressive stack,Bronx OP,M2 after access,Cloud Page secondary asset — Bronx OP,Rehost geo-targeted Google Site on bunny.net + Dropbox subdomain. Title-tag geo-spoofed to Bronx neighborhoods.,Per Cloud Page | SOP | HQDM. Cross-link from SEO NEO cloud-blog network.,Julce + Rosey,Cloud Page live 200-status; cross-linked,3,P0-must,Cloud Page | SOP | HQDM (Drive),AA coordination on external signal deployment
P-BOP-13,GBP aggressive stack,Bronx OP,M2 after access,IFTT + GStack web-2.0 pyramid — Bronx OP,Per existing IFTT/GStack template (reference: Best of Utah Moving deployment).,Tier-1/2/3 link structure supporting Bronx SEO NEO blogs + Cloud Page.,Julce,Pyramid built; tier-1/2/3 link structure verified,4,P1-stretch,Best of Utah Moving | IFTT & GStack (Drive),AA coordination on external signal deployment
P-BOP-14,GBP aggressive stack,Bronx OP,M2 after access,Add Bronx OP to Driving Directions Masterlist,"Add 3584 Jerome Ave pin to existing Driving Directions program per Masterlist. Orlando Spine regression-window flag — time cadence carefully + stage M3 Maps re-pull as counterfactual.",Per Driving Directions - Masterlist (Drive — modified 2026-05-13). Off-shore drivers via Dr Fone + rotating Gmail pool.,Julce,Bronx pin added to Masterlist; cadence configured,1,P0-must,Driving Directions - Masterlist (Drive),AA coordination — Tier-0 principal decision
P-BOP-15,GBP aggressive stack,Bronx OP,M2 after access,CTR bot engagement — Bronx OP,Per CTR Mastery + CTR Booster. Priority queries: drug rehab / alcohol rehab / addiction treatment / outpatient rehab / MAT / suboxone clinic. 30-50 clicks per query per week.,Aged Gmail + RDP + iProxy + browser-profile rotation per SOP.,Julce,CTR campaigns running on ≥4 priority queries,2,P0-must,CTR Mastery + CTR Booster (Drive),AA coordination — Tier-0 principal decision
P-BOP-16,GBP aggressive stack,Bronx OP,M2 after access,Competitor GMB takedown — Bronx market,Per quarantined SOP. Target Bronx Recovery (9 backlinks + zero organic top-30 + currently #1 Bronx Map Pack — pin-move suggest-edits off 1807a Westchester Ave).,Aged Gmail pool + GoLogin + GS Location Changer + VPN rotation. Staggered submissions per SOP throttling.,Julce,Suggest-edits submitted on Bronx Recovery + at least 2 other Bronx-pack competitors,3,P0-must,quarantined SOP_GMB_Competitive_Positioning_Cleanup_Tactic,AA coordination — Tier-0 principal decision
P-QOP-01,GBP base optimization,Queens OP,M1 after access,GBP description rewrite (CRITICAL: 33→720 chars) — Queens OP,"Queens currently has 33-char description — the lowest in the portfolio and across all competitors. Queens OP already ranks across its own grid (95% top-10, 12-25% top-3) so the lever is profile depth, not visibility.","Bring 33 → 720 chars. Pack outpatient SUD / MAT / Medicaid + Aetna + Tricare / Queens neighborhoods (Jamaica + Flushing + Forest Hills + Astoria + LIC + Sunnyside) / intake hours / language services if applicable. Reference /outpatient/queens-outpatient by named service.",GBP Ops + Aleksandar,New description live in knowledge panel; screenshot,1.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Queens OP GBP
P-QOP-02,GBP base optimization,Queens OP,M1 after access,GBP services-list completion — Queens OP,Each service item should link to a site page per C1-13 audit output.,"Outpatient counseling + MAT continuation + IOP + dual-diagnosis OP. Custom 700-char descriptions per service. Each URL → /outpatient/queens-outpatient + relevant /service/* page.",GBP Ops,All services listed; verified,1,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Queens OP GBP
P-QOP-03,GBP base optimization,Queens OP,M1 after access,GBP category expansion — Queens OP,Currently 3. Add 3 clinically-true secondaries.,Add: Alcoholism treatment program + Mental health service + Rehabilitation center. Target 6.,GBP Ops + Aleksa,Categories at 6; all clinically true,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Queens OP GBP
P-QOP-04,GBP base optimization,Queens OP,M1 after access,GBP attribute completion — Queens OP,Currently 2. Target 6 to match Ascendant depth.,service_options + accessibility + amenities + identifies-as + payments. Target 6.,GBP Ops,Attribute count ≥6,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Queens OP GBP
P-QOP-05,GBP base optimization,Queens OP,M1 after access,GBP Q&A seed + answer 4 existing — Queens OP,"Queens has 4 publicly-captured Q&As, 0 owner-answered. Answer those + seed 12-15 new.","Answer 4 existing from info@. Seed 12-15 new via aged-Gmail pool. Topics: insurance / Medicaid / MAT / language services / Queens neighborhoods / parking / accessibility. Each reply references a site URL where applicable.",GBP Ops + Aleksa,15+ Q&As live and owner-answered,2,P0-must,GMB Q&A Optimization SOP (Drive),Manager access on Queens OP GBP
P-QOP-06,GBP base optimization,Queens OP,M1 after access,ExifTool + re-upload existing 2 photos — Queens OP,Queens has 2 photos. Net-new photo intake commitment in Ownership Doc item 8.,ExifTool inject target keywords (drug rehab Queens + outpatient + Jamaica) + GPS coord. Re-upload per Maps Training Manual SOP Step 1.,Julce + GBP Ops,2 photos re-uploaded with injected metadata,0.5,P0-must,GBP Maps Training Manual SOP (Drive) Step 1,Manager access on Queens OP GBP
P-QOP-07,GBP base optimization,Queens OP,M2 after access,GBP Posts cadence 3-5/week — Queens OP,"Queens has rank-pushing headroom (median rank 5 on alcohol rehab + drug rehab). Posts cadence + image ExifTool + site-page linkbacks compound the existing top-10 position into top-3.","3-5 Posts/week: insurance / MAT / walk-in availability / Medicaid / Queens neighborhood content. Each Post links to /outpatient/queens-outpatient or relevant /service/* page. Every Post image runs through ExifTool first.",GBP Ops + Julce,≥40 Posts shipped on Queens by end of M2; ≥80% link to site pages,4,P0-must,GBP Optimization SOP + Maps Training Manual SOP,Manager access on Queens OP GBP
P-QOP-08,GBP base optimization,Queens OP,M3 after access,Owner-reply to all <4-star reviews — Queens OP,"Queens has 62.5% 1-star content density on 16 reviews — worst rating in portfolio. CRITICAL: do this before any review-generation work so owner-response cadence establishes legitimate-velocity carrier signal.","Empathy + outcome statement per Review-response SOP. Reference site URLs where contextually appropriate. ~10 negative reviews × 5 min each.",GBP Ops,Every <4-star Queens review has an owner reply,1,P0-must,HQDM Review-response SOP,Manager access on Queens OP GBP
P-QOP-09,GBP aggressive stack,Queens OP,M2 (parallel to access),GMB Dominator run (9 suburbs) — Queens OP,9 supporting MyMaps + driving-directions + cloud-blog stacks per Dominator SOP. Queens already has rank-pushing headroom — Dominator extends the geographic coverage beyond proximity-bound central Queens.,9 suburbs (Jamaica + Flushing + Forest Hills + Astoria + Long Island City + Sunnyside + Rego Park + Kew Gardens + Briarwood). Spintext content per Dominator SOP § 1.,Julce,9 supporting MyMaps + driving directions + cloud blogs published,8,P0-must,GMB Dominator & Embedinator SOP (Drive),AA coordination on external signal deployment
P-QOP-10,GBP aggressive stack,Queens OP,M2 after access,Embedinator run — Queens OP,Embed-stack pyramid pointing at Queens GBP.,Per GMB Embedinator SOP. Queens OP pin only.,Julce,Embedinator run complete; embed-source domains logged,2,P1-stretch,GMB Embedinator SOP (Drive),AA coordination on external signal deployment
P-QOP-11,GBP aggressive stack,Queens OP,M2 after access,SEO NEO cloud-blog network (30 articles) — Queens OP,30 spun articles per SEO NEO SOP. Each blog points at /outpatient/queens-outpatient + Queens GBP + Queens Cloud Page.,ExifTool-stuffed images + iframe loops + authority-entity injection. Staggered weekly per throttling rule.,Julce,30 cloud blogs published; indexed; staggered weekly,8,P0-must,SEO NEO SOP BASIC (Drive),AA coordination on external signal deployment
P-QOP-12,GBP aggressive stack,Queens OP,M2 after access,Cloud Page secondary asset — Queens OP,Rehost geo-targeted Google Site on bunny.net + Dropbox subdomain. Title-tag geo-spoofed to Queens neighborhoods (Jamaica + Flushing).,Per Cloud Page | SOP | HQDM. Cross-link from SEO NEO cloud blogs.,Julce + Rosey,Cloud Page live 200-status; cross-linked,3,P0-must,Cloud Page | SOP | HQDM (Drive),AA coordination on external signal deployment
P-QOP-13,GBP aggressive stack,Queens OP,M2 after access,IFTT + GStack web-2.0 pyramid — Queens OP,Per existing IFTT/GStack template.,Tier-1/2/3 link structure supporting Queens SEO NEO blogs + Cloud Page.,Julce,Pyramid built; tier-1/2/3 link structure verified,4,P1-stretch,Best of Utah Moving | IFTT & GStack (Drive),AA coordination on external signal deployment
P-QOP-14,GBP aggressive stack,Queens OP,M2 after access,Add Queens OP to Driving Directions Masterlist,Per Driving Directions Masterlist. Orlando regression-window flag — time cadence carefully.,Off-shore drivers via Dr Fone + rotating Gmail pool per existing program cadence.,Julce,Queens pin added to Masterlist; cadence configured,1,P0-must,Driving Directions - Masterlist (Drive),AA coordination — Tier-0 principal decision
P-QOP-15,GBP aggressive stack,Queens OP,M1 after access,Review generation drip — Queens OP,"Queens at 2.2★ / 62.5% 1-star is the worst-rated pin in portfolio — below the 4-star threshold that AI Overview + LLM citations use to filter eligible providers. Synthetic review drip lifts the visible rating; pair with intake-side review SOP as legitimate-velocity carrier signal.",Per quarantined Review SOP. 30 ChatGPT-authored 5-star reviews drip-deployed 5-7/week post-aged-Gmail warm-up. Target 2.2★ → 3.5★+ by end of Q2.,Julce,Queens trends 2.2★ → 3.5★+; no review removals,3,P0-must,quarantined Review SOP,AA coordination — Tier-0 principal decision
P-QOP-16,GBP aggressive stack,Queens OP,M2 after access,CTR bot engagement — Queens OP,Priority queries: drug rehab / alcohol rehab / addiction treatment / outpatient rehab. 30-50 clicks per query per week.,Per CTR Mastery + CTR Booster (Drive). Aged Gmail + RDP + iProxy + browser-profile rotation.,Julce,CTR campaigns running on ≥4 priority queries,2,P0-must,CTR Mastery + CTR Booster (Drive),AA coordination — Tier-0 principal decision
P-QOP-17,GBP aggressive stack,Queens OP,M2 after access,Competitor GMB takedown — Queens market,Top 3 Queens-pack GBPs that lack AA-grade depth — pin-move + 'permanently closed' suggest-edits.,Per quarantined SOP. Staggered submissions per throttling.,Julce,Suggest-edits submitted on ≥3 Queens-pack competitor pins,3,P0-must,quarantined SOP_GMB_Competitive_Positioning_Cleanup_Tactic,AA coordination — Tier-0 principal decision
