task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
CN-02,Content,M3,Content,3 supporting articles for Tier-1 service + outpatient pages,Reinforces /services/medication-assisted-treatment + /outpatient/schenectady/ + /outpatient/rochester/ topical clusters once SP-03 + SP-05 ship.,3 NEW articles: 'What to Expect at Your First MAT Appointment' (supports MAT service page) · 'Outpatient Rehab in Schenectady NY: What Insurance Covers' (supports Schenectady page) · 'Affordable Outpatient Rehab in Rochester NY' (supports Rochester rebuild). Each internal-links to its target page from intro + body + CTA.,P1-stretch,9,3 articles published; each internal-links to its target Tier-1 page; cannibalization check log,—,HQDM/A - HQDM SOPs/Content/Blog-Refresh-SOP
CN-03,Content,M1,Reporting/CRO (Marija) + Aleksandar,Rochester CRO diagnosis — page-redesign brief output,"Rochester page: 422 clicks / 51,508 imp / pos 9.36 / 0.819% CTR 365d. Highest impressions on the site but worst CTR. GBP rating 2.7★ × 36 — rating drag is the most likely root cause but needs CRO diagnostic to confirm vs page-architecture vs intake-form placement vs mobile rendering. On-page diagnostic — HQDM-deliverable even without GBP access on Rochester.",GA4 funnel diff: Rochester sessions → conversion drop-off pattern. Identify whether the gap is hero engagement / form visibility / intake CTA placement / mobile rendering. Layer on rating-gap context (2.7★ × 36 — affordability friction likely; sliding-fee disclosure needed if available). Output: 1-page brief feeding SP-05 Rochester row in Outpatient_Pages_Plan.xlsx.,P0-must,4,GA4 funnel diff complete; 1-page Rochester CRO brief shipped; Outpatient_Pages_Plan.xlsx Rochester row updated with brief findings,CN-03_Rochester_CRO_Brief.md (output),HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
LG-GV-01,Local/GBP,M1,GBP Ops + Aleksandar,Glenville GBP description light polish (credentials + catchment reinforcement),"Current description is 748 chars and substantive — opens 'At Conifer Park: Inpatient Addiction Treatment Drug & Alcohol Detox & Rehab Center in Glenville, NY, we provide comprehensive addiction care...'. Not a rewrite — light polish to (a) tighten clinical anchors so each maps to a specific /service/* URL, (b) add credentials (OASAS Operating Certificate #10018 + ATPA + Shatterproof ATLAS), (c) clarify Capital Region catchment.","Open LG-GV-01_Description_Rewrite.docx (light-polish brief). Verify char count stays ≤750. Each clinical anchor (detox + rehab + MAT + dual diagnosis + family + psychiatric) maps to a specific /service/* or /services/* URL post-SP-04 un-geo-lock. Add OASAS #10018 + ATPA + Shatterproof ATLAS credentials. Preserve voice — owner-style, not keyword-stuffed.",P1-stretch,1,Polished description live in knowledge panel; credentials mentioned; service mentions traceable to specific URLs; char count ≤750,LG-GV-01_Description_Rewrite.docx,HQDM/A - HQDM SOPs/Local-GBP/GBP-Description-SOP
LG-GV-02,Local/GBP,M1,GBP Ops,Glenville GBP services-list audit + URL pointer tightening (15+ services already exist),"Glenville GBP already has a comprehensive services list (15+ items including Outpatient Treatment, MAT, Anger Management, Co-Dependency Groups, DWI Groups, Family Program, Adult Detoxification, Inpatient Rehabilitation, Psychiatric Services, Activities & Recreation, Addiction Treatment Program). The work is NOT to add services — it's to (a) audit each item's URL pointer maps to a real /service/* page (post-SP-04 un-geo-lock), (b) tighten descriptions where clinical accuracy can improve, (c) flag any service item that doesn't have a matching site page for Q3 page-build.",Open Conifer_Park_GBP_Hygiene_Plan.xlsx GBP_Services_Inventory tab filter pin=Glenville. For each of the 15+ existing services: verify URL field points to a real /service/* or /services/* page; tighten 700-char description if clinical accuracy can improve; flag missing-site-page services for Q3 backlog. Do NOT add new services unless a clinical gap is confirmed.,P0-must,2,All Glenville GBP service items verified against site URL catalog; URL field updated where currently pointing to homepage; gaps queued for Q3,Conifer_Park_GBP_Hygiene_Plan.xlsx (GBP_Services_Inventory tab — Glenville rows),HQDM/A - HQDM SOPs/Local-GBP/GBP-Description-SOP
LG-GV-03,Local/GBP,M1,GBP Ops,Glenville GBP attribute completion + UTM landing repoint,GBP URL field currently points to homepage. Add UTM `?utm_source=gmb&utm_medium=click&utm_campaign=gmb_listing_glenville` so GA4 starts splitting `gmb/click` by location. Also complete attributes to match Capital Region competitive depth.,Open Conifer_Park_GBP_Hygiene_Plan.xlsx UTM_Landing_URLs tab — Glenville row. Update GBP URL with UTM. Attributes: accessibility (wheelchair entrance + parking) · service_options (onsite_services + accepts_new_patients) · payments (Medicaid + private insurance). Target ≥6 attribute keys.,P0-must,1,UTM live in GBP profile; GA4 starts splitting gmb/click by location; attribute count ≥6,Conifer_Park_GBP_Hygiene_Plan.xlsx (UTM_Landing_URLs + NAP_Title_Category tabs),HQDM/A - HQDM SOPs/Local-GBP/GBP-Description-SOP
LG-GV-04,Local/GBP,M1-M3,GBP Ops + Julce,"GBP Posts cadence — Glenville Inpatient (24 posts × 12 weeks, defensive)",Sustained Posts cadence at 2/week × 12 weeks = ~24 Posts. Each becomes a distribution channel for CN-01 article batch + service-page work + LD-baseline defense. ExifTool keyword-injection per Maps Training Manual SOP Step 1. Defensive posture per §1c — Glenville is already dominating (+19 cells across 4 queries Feb→Apr).,Open Conifer_Park_GBP_Posts_3Month.xlsx filter pin=Glenville. 24 rows. Each Post: theme + anchored service + target URL + headline + body + CTA + image direction. ExifTool injection (inpatient detox + Capital Region + Schenectady County + OASAS-licensed + GPS coord 42.8868/-73.9417).,P0-must,8,≥24 Posts shipped by end of M3; ≥80% link to corresponding site page; ExifTool injection on every Post image verified,Conifer_Park_GBP_Posts_3Month.xlsx,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
LG-GV-05,Local/GBP,M2,GBP Ops + Aleksa,Owner-reply to all <4-star reviews — Glenville Inpatient (14 reviews),14 <4-star reviews enumerated in Conifer_Park_Reviews_Plan_3Month.xlsx Glenville_LT4_Detail tab (13× 1-star + 1× 2-star) on 50 total — 28% negative content density. 0/14 currently have owner replies.,Open Conifer_Park_Reviews_Plan_3Month.xlsx Glenville_LT4_Detail tab. Per row: empathy + offline follow-up via intake line (800-926-6433); do not contest specifics publicly. Reference /admissions where contextually appropriate.,P0-must,3,All 14 Glenville <4-star reviews have owner replies; per-review reply logged in sheet,Conifer_Park_Reviews_Plan_3Month.xlsx (Glenville_LT4_Detail tab),HQDM/A - HQDM SOPs/Local-GBP/GBP-QA-Response-SOP
LG-GV-06,Local/GBP,M1,Julce + GBP Ops,ExifTool keyword-injection on existing 26 Glenville photos,Glenville has 26 photos in GBP — above the 25-photo benchmark. Existing assets can be re-processed through ExifTool to inject target keywords + GPS coord — every photo becomes a Maps ranking signal. No new photo intake needed (target met).,Run all 26 existing Glenville photos through ExifTool to inject keywords (inpatient detox + Glenville NY + Capital Region + Schenectady County + OASAS-licensed + 225-bed) + GPS coord 42.8868/-73.9417. Re-upload via GBP Manager.,P1-stretch,1.5,All 26 photos re-uploaded with injected metadata; ExifTool audit confirms injection,—,HQDM/A - HQDM SOPs/Local-GBP/Photo-Geo-Tag-SOP
LG-TR-01,Local/GBP,M1,GBP Ops + Aleksandar,Troy NAP fix (2431 vs 2435) + GBP description build from scratch,"Troy GBP address: 2431 6th Ave (per info.json). Site copy across 19+ pages: 2435 Sixth Avenue. NAP drift is a documented local-SEO ranking penalty. §1b LD data shows Troy on a strong upward trend (+107 cells across 5 queries) — don't let NAP drift confuse Google during this momentum window. Troy GBP description is currently 'Substance abuse program' — 23 chars, effectively empty.",Step 1: confirm canonical address via Owner Ask #4 (resolve 2431 vs 2435). Step 2: align GBP NAP + on-page NAP + schema NAP to canonical. Step 3: write Troy GBP description ~720 chars with clinical anchors (outpatient programming + IOP + MAT + dual diagnosis + family programming + Rensselaer County + Capital Region + step-up referral path to Glenville inpatient + insurance accepted).,P0-must,1.5,Address resolved + aligned across GBP + on-page + schema; ~720-char description live in knowledge panel; screenshot in evidence column,LG-TR-01_Description_Rewrite.docx; Conifer_Park_Owner_Conversation_Items.md #4,HQDM/A - HQDM SOPs/Local-GBP/GBP-Description-SOP
LG-TR-02,Local/GBP,M1,GBP Ops,Troy GBP services-list build from scratch (currently 0 services) + UTM landing repoint,Troy GBP has zero services listed today (verified). Glenville has 15+ services — Troy should match the depth for the outpatient services Troy actually offers. UTM landing also needs the redirect-fixed canonical URL (post-SP-01).,"Open Conifer_Park_GBP_Hygiene_Plan.xlsx GBP_Services_Inventory tab filter pin=Troy. Add 5 core services from scratch, each with 700-char description and a real site URL pointer: (1) Outpatient Treatment → /outpatient/troy; (2) Intensive Outpatient Programs → /outpatient/troy + /services/intensive-outpatient if exists; (3) Medication Assisted Treatment → /services/medication-assisted-treatment (post un-geo-lock); (4) Dual Focus (Outpatient Addiction Treatment) → /services/psychiatric-services; (5) Family Program → /services/family-program. Plus UTM landing: canonical Troy URL + `?utm_source=gmb&utm_medium=click&utm_campaign=gmb_listing_troy`.",P0-must,2,5 services live on Troy GBP with 700-char descriptions + real URL pointers; UTM live; GA4 splits gmb/click for Troy,Conifer_Park_GBP_Hygiene_Plan.xlsx (GBP_Services_Inventory + UTM_Landing_URLs),HQDM/A - HQDM SOPs/Local-GBP/GBP-Description-SOP
LG-TR-03,Local/GBP,M1-M3,GBP Ops + Julce,"GBP Posts cadence — Troy Outpatient (24 posts × 12 weeks, offensive)","Per §1c competitor churn data, Troy is gaining +107 top-10 cells but field is gaining harder (Whitney M Young +155, Hope House Outpatient +99, Hospitality House TC +258, Addictions Care Center of Albany +260). Offensive cadence at 2/week × 12 weeks anchors the pin under competitive pressure.",Open Conifer_Park_GBP_Posts_3Month.xlsx filter pin=Troy. 24 rows. Each Post links to canonical Troy URL (post-SP-01) or /services/* relevant. ExifTool injection per image with Troy GPS coord 42.7284/-73.6918.,P0-must,8,≥24 Posts shipped by end of M3; offensive cadence verified; ExifTool injection on every image,Conifer_Park_GBP_Posts_3Month.xlsx,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
LG-TR-04,Local/GBP,M2,GBP Ops + Aleksa,Troy 'outpatient rehab near me' targeted defense vs Whitney M Young + Hope House Outpatient,Per §1b baseline: Troy 'outpatient rehab near me' top-3 cells contracted 50 → 35 in 18 days while top-10 expanded. Whitney M Young 140 → 169 top-10 (+29) and Hope House Outpatient +98 top-10 are pushing in. Per §1c they sum to +155 / +99 across all 5 queries.,Step 1: weekly Troy GBP Posts anchored to 'outpatient rehab Troy' service descriptors (LG-TR-03 cadence). Step 2: SP-02 Troy page rebuild (if needed) lands H1 + intro with 'outpatient rehab' service descriptor. Step 3: LD weekly tracking flags Whitney M Young + Hope House Outpatient rank movement.,P0-must,4,Top-3 cell count holds ≥35 (M2 floor) + recovers toward 50 (Apr 24 baseline) by M3 LD re-pull; competitor rank delta logged weekly,exports/local_dominator/conifer_ld_delta_summary.csv; exports/local_dominator/conifer_ld_competitor_churn_troy.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
LG-TR-05,Local/GBP,M2,GBP Ops + Aleksa,Owner-reply to Troy <4-star reviews,Troy has 27 total reviews at 3.9★. Per Conifer_Park_Reviews_Plan_3Month.xlsx Troy_LT4_Detail tab — enumerate the <4-star count + reply state. Owner replies are a Maps-ranking signal + a trust signal.,Open Conifer_Park_Reviews_Plan_3Month.xlsx Troy_LT4_Detail tab. Per row: empathy + offline follow-up via Troy intake line (518-274-5143) or central 800-926-6433; do not contest specifics publicly.,P0-must,1.5,All Troy <4-star reviews have owner replies; per-review reply logged in sheet,Conifer_Park_Reviews_Plan_3Month.xlsx (Troy_LT4_Detail tab),HQDM/A - HQDM SOPs/Local-GBP/GBP-QA-Response-SOP
LG-TR-06,Local/GBP,M1,Julce + GBP Ops,Troy photo blitz + ExifTool injection (3 → 25 photos),Troy GBP has only 3 photos (verified via probe) — well below the 25-photo benchmark Glenville already meets. Photo depth is a trust + Maps ranking signal. Gated on Owner Ask #6 photo content.,Step 1: client supplies photo content via Owner Ask #6. Step 2: ExifTool injection per Troy GPS coord 42.7284/-73.6918 + keywords (outpatient + Troy NY + Rensselaer County + Capital Region + MAT + IOP). Step 3: GBP Manager upload to ≥25 photos.,P0-must,3,Troy GBP has ≥25 geotagged photos live + categorized; ExifTool audit confirms metadata injection,Conifer_Park_GBP_Hygiene_Plan.xlsx (Photo_Gap_Close tab — Troy row); Conifer_Park_Owner_Conversation_Items.md #6,HQDM/A - HQDM SOPs/Local-GBP/Photo-Geo-Tag-SOP
LG-UP-06,Local/GBP,M2,Aleksa + Content,"Review velocity intake-side SOP rollout — 7 pin facilities (HQDM tooling, client distributes)",Per Conifer_Park_Reviews_Plan_3Month.xlsx Review_Velocity_Targets tab: +15 reviews per pin M2-M3. Highest priority: Schenectady (2.7★ × 10) + Rochester (2.7★ × 36) where rating floor blocks LLM citations. Intake-side workflow can be deployed at all 7 facilities — doesn't require HQDM GBP access. Owner-reply portion is separate (Glenville via LG-GV-05 + Troy via LG-TR-05 only).,Owner Ask #7 confirms intake/discharge team review-request workflow. HQDM provides SMS template + printed-QR card design. Client distributes at all 7 facilities (Glenville inpatient + 6 outpatient).,P0-must,6,SOP + assets handed to client; per-pin review-velocity targets logged weekly; <4★ % trends down on Schenectady + Rochester by M3 close; review counts +15 per pin tracked,Conifer_Park_Reviews_Plan_3Month.xlsx (Review_Velocity_Targets tab); Conifer_Park_Owner_Conversation_Items.md #7,HQDM/A - HQDM SOPs/Local-GBP/GBP-QA-Response-SOP
LG-INF-01,Local/GBP,M1,Local/GBP team + Aleksandar,LD grid setup on remaining 5 pins (Glenville + Troy baselines already established),Glenville + Troy baselines already in exports/local_dominator/. Extending same pattern to other 5 pins enables M3 comparable delta report — passive monitoring even without GBP Manager access on those pins (LD scrapes public SERP).,Per pin: near-me term + branded city term + branded regional term + 1 service-specific term (4 queries per pin). Tight 0.5-mi grid for outpatient pins; 3-mi grid for any flagship-style coverage. Schedule weekly scans.,P0-must,4,All 7 pins running weekly LD scans by end of M1 wk2; Schenectady + Glens Falls + Plattsburgh + Syracuse + Rochester scans landing in exports/local_dominator/,exports/local_dominator/README.md,HQDM/A - HQDM SOPs/Local-GBP/LD-Grid-Setup-SOP
LG-INF-02,Local/GBP,M1,Local/GBP team + Aleksandar,Establish competitor watch list per §1b + §1c,"Per §1c: Glenville rising threats = St. Peter's Addiction Recovery (+132), BriteLife Recovery at Lexington (+99), Hedgerow House (+83), Every1 Center (+64). Troy rising threats = Whitney M Young Rehab Clinic (+155), Hope House Outpatient (+99), Hospitality House TC (+258), Addictions Care Center of Albany (+260).",Add competitors to reporting sheet. Weekly LD scan auto-flags rank delta on these competitors per pin.,P0-must,2,Watch list logged; weekly LD scan auto-flags rank delta on listed competitors,exports/local_dominator/conifer_ld_competitor_churn_glenville.csv; exports/local_dominator/conifer_ld_competitor_churn_troy.csv,HQDM/A - HQDM SOPs/Local-GBP/LD-Grid-Setup-SOP
LG-INF-03,Local/GBP,M3,Local/GBP team + Marija,Maps SERP re-pull at all 7 coords + LD grid scan compare vs baselines,Closes per-pin per-cluster rank delta loop. Glenville + Troy compared vs Feb-Apr / Apr-May §1b baselines. Other 5 pins compared vs M1 baseline (LG-INF-01 output).,Run Maps SERP query set at 7 pin coordinates. Delta vs baseline = report metric in RP-01. Win/hold/lose tagged per pin per query.,P0-must,6,Per-pin per-cluster rank delta sheet; M3 framework input ready,exports/local_dominator/conifer_ld_delta_summary.csv,HQDM/A - HQDM SOPs/Reporting/Quarterly-Close-Out-SOP
